INFO 2025-12-09 22:19:27,808 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-12-09 22:19:27,809 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-12-09 22:19:27,809 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-12-09 22:19:27,811 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-12-09 22:19:27,814 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-12-09 22:19:27,815 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-12-09 22:19:27,861 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-12-09 22:19:27,882 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-12-09 22:19:27,882 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,062 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 18024
INFO 2025-12-09 22:19:39,123 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,124 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,127 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,129 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,137 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,137 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,138 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,139 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,140 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,149 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,151 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,185 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-09 22:19:39,239 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,279 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,280 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2025-12-09 22:19:39,288 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2025-12-09 22:19:44,110 basehttp "GET /admin/auth/group/ HTTP/1.1" 200 14335
INFO 2025-12-09 22:19:44,751 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-09 22:19:56,104 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 18024
INFO 2025-12-09 22:19:56,200 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-09 22:20:03,788 basehttp "GET /admin/auth/user/add/ HTTP/1.1" 200 18728
INFO 2025-12-09 22:20:03,829 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2025-12-09 22:20:03,833 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2025-12-09 22:20:03,870 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
